,time,low,high,open,close,price_mean,price_stdev,z_score,Day,Polarity_of_Desc,delta,cluster
0,2019-10-19T00:00:00+00:00,7873.46,8099.98,7954.15,7965.28,7956.131278396436,39.129574454418226,0.23380580369513554,2019-10-19,0.17327533577533574,11.13000000000011,1
1,2019-10-18T00:00:00+00:00,7814.08,8117.77,8076.94,7954.16,7958.503105778504,65.2558012589299,-0.0665550908075061,2019-10-18,0.029011387163561074,-122.77999999999975,1
2,2019-10-17T00:00:00+00:00,7937.01,8124.42,7995.81,8076.2,8037.222416666702,45.68269892931708,0.8532241799812709,2019-10-17,-0.015769277597402584,80.38999999999942,1
3,2019-10-16T00:00:00+00:00,7908.86,8171.59,8162.44,7993.54,8035.888735000137,83.5150937795105,-0.5070788175361747,2019-10-16,0.04656501185596014,-168.89999999999964,1
4,2019-10-15T00:00:00+00:00,8085.65,8420.0,8355.0,8162.44,8242.715369020532,81.07890571232561,-0.9900894482389302,2019-10-15,0.13290149875377144,-192.5600000000004,1
5,2019-10-14T00:00:00+00:00,8215.66,8409.0,8282.96,8355.0,8310.288694940433,33.165802347768185,1.3481146812230191,2019-10-14,0.09249149659863944,72.04000000000087,1
6,2019-10-13T00:00:00+00:00,8146.47,8469.02,8309.03,8282.97,8349.723415277844,71.77983124581843,-0.9299745362905566,2019-10-13,0.14958062770562772,-26.06000000000131,1
7,2019-10-12T00:00:00+00:00,8261.46,8425.0,8263.02,8309.03,8334.399218918901,22.952711511050282,-1.1052820015050004,2019-10-12,0.1275,46.01000000000022,1
8,2019-10-11T00:00:00+00:00,8226.0,8826.0,8587.49,8267.33,8411.31960357129,122.42566325040896,-1.1761390524531956,2019-10-11,0.07393001443001443,-320.15999999999985,0
9,2019-10-10T00:00:00+00:00,8452.5,8660.0,8590.01,8587.5,8563.046012941191,31.81167743344251,0.7687110216043208,2019-10-10,0.05090936648228315,-2.5100000000002183,1
10,2019-10-09T00:00:00+00:00,8121.0,8712.45,8180.0,8590.0,8416.773246153922,199.60431407421623,0.8678507508693999,2019-10-09,0.06113721246074187,410.0,4
