time,low,high,open,close
2019-11-24T12:00:00,144.13,145.61,144.89,145.22
2019-11-24T11:00:00,141.49,145.71,143.61,144.89
2019-11-24T10:00:00,143.01,147.17,146.28,143.72
2019-11-24T09:00:00,144.61,148.72,148.55,146.26
2019-11-24T08:00:00,148.5,149.46,149.46,148.55
2019-11-24T07:00:00,148.84,150.11,150.02,149.4
2019-11-24T06:00:00,149.05,150.93,149.13,150.1
2019-11-24T05:00:00,149.0,151.32,151.08,149.13
2019-11-24T04:00:00,149.98,151.38,150.2,150.97
2019-11-24T03:00:00,149.42,150.74,149.46,150.14
2019-11-24T02:00:00,149.42,150.5,150.07,149.43
2019-11-24T01:00:00,149.6,150.92,149.72,150.07
2019-11-24T00:00:00,149.21,150.35,149.5,149.6
2019-11-23T23:00:00,149.05,150.21,150.08,149.51
2019-11-23T22:00:00,149.78,150.83,150.83,150.09
2019-11-23T21:00:00,150.69,152.06,151.26,150.84
2019-11-23T20:00:00,150.56,151.56,151.1,151.16
2019-11-23T19:00:00,150.61,153.19,152.0,151.14
2019-11-23T18:00:00,151.87,152.81,152.04,152.0
2019-11-23T17:00:00,151.09,153.2,151.19,152.15
2019-11-23T16:00:00,150.24,151.22,151.17,151.19
2019-11-23T15:00:00,150.87,151.89,151.72,151.17
2019-11-23T14:00:00,151.61,153.29,152.88,151.72
2019-11-23T13:00:00,151.7,153.17,152.47,152.76
2019-11-23T12:00:00,151.71,154.1,153.63,152.36
2019-11-23T11:00:00,151.75,154.54,152.39,153.6
2019-11-23T10:00:00,150.66,153.4,151.17,152.53
2019-11-23T09:00:00,149.16,152.18,149.25,151.12
2019-11-23T08:00:00,148.53,149.63,148.53,149.27
2019-11-23T07:00:00,148.35,149.67,149.1,148.46
2019-11-23T06:00:00,148.71,150.17,149.23,149.09
2019-11-23T05:00:00,147.44,150.08,148.23,149.17
2019-11-23T04:00:00,146.9,149.12,149.03,148.16
2019-11-23T03:00:00,148.47,151.24,150.46,149.03
2019-11-23T02:00:00,149.88,151.92,151.09,150.46
2019-11-23T01:00:00,150.43,151.77,151.02,150.9
2019-11-23T00:00:00,149.51,151.44,149.91,150.88
2019-11-22T23:00:00,149.93,152.47,151.91,149.93
2019-11-22T22:00:00,150.34,152.45,150.4,151.95
2019-11-22T21:00:00,149.38,150.78,149.38,150.38
2019-11-22T20:00:00,147.54,150.0,148.74,149.39
2019-11-22T19:00:00,146.37,150.32,149.98,148.79
2019-11-22T18:00:00,147.94,150.68,149.49,149.97
2019-11-22T17:00:00,148.84,153.74,153.3,149.52
2019-11-22T16:00:00,152.21,153.98,152.5,153.27
2019-11-22T15:00:00,151.7,155.26,152.97,152.7
2019-11-22T14:00:00,150.06,153.26,150.58,152.96
2019-11-22T13:00:00,147.84,151.01,148.34,150.43
2019-11-22T12:00:00,147.05,149.03,147.41,148.46
2019-11-22T11:00:00,146.42,150.76,148.07,147.4
2019-11-22T10:00:00,144.8,148.8,144.92,148.11
2019-11-22T09:00:00,137.8,146.2,144.63,144.92
2019-11-22T08:00:00,143.28,149.96,149.96,144.69
2019-11-22T07:00:00,147.79,150.11,148.73,149.93
2019-11-22T06:00:00,147.67,150.54,147.69,148.61
2019-11-22T05:00:00,145.11,155.27,155.27,147.75
2019-11-22T04:00:00,151.0,157.37,157.25,155.25
2019-11-22T03:00:00,157.08,161.9,157.73,157.12
2019-11-22T02:00:00,153.56,158.1,154.99,157.73
2019-11-22T01:00:00,154.26,159.58,159.18,155.01
2019-11-22T00:00:00,158.25,160.64,160.49,159.15
2019-11-21T23:00:00,159.91,161.0,160.02,160.37
2019-11-21T22:00:00,159.91,161.6,161.44,160.03
2019-11-21T21:00:00,161.14,162.39,161.81,161.34
2019-11-21T20:00:00,161.33,162.65,162.35,161.8
2019-11-21T19:00:00,160.78,162.32,160.83,162.32
2019-11-21T18:00:00,159.96,161.03,160.69,160.82
2019-11-21T17:00:00,159.27,160.84,159.32,160.69
2019-11-21T16:00:00,158.52,160.05,158.88,159.32
2019-11-21T15:00:00,158.34,161.01,160.01,158.89
2019-11-21T14:00:00,157.81,160.12,158.34,160.01
2019-11-21T13:00:00,158.0,158.7,158.3,158.35
2019-11-21T12:00:00,158.16,160.32,160.28,158.33
2019-11-21T11:00:00,159.64,161.76,160.83,160.28
2019-11-21T10:00:00,155.0,164.44,164.37,160.88
2019-11-21T09:00:00,163.64,168.38,168.07,164.52
2019-11-21T08:00:00,167.95,168.78,168.78,168.07
2019-11-21T07:00:00,167.65,168.78,167.65,168.78
2019-11-21T06:00:00,166.39,170.86,170.86,167.64
2019-11-21T05:00:00,170.46,171.33,171.01,170.95
2019-11-21T04:00:00,170.9,172.08,171.43,171.07
2019-11-21T03:00:00,170.01,174.23,174.21,171.46
2019-11-21T02:00:00,173.67,174.48,174.11,174.23
2019-11-21T01:00:00,173.54,174.7,174.7,174.11
2019-11-21T00:00:00,174.48,174.79,174.59,174.68
2019-11-20T23:00:00,174.3,174.98,174.92,174.58
2019-11-20T22:00:00,174.31,175.14,174.82,175.04
2019-11-20T21:00:00,174.6,175.49,175.45,174.82
2019-11-20T20:00:00,174.4,175.49,174.41,175.49
2019-11-20T19:00:00,173.63,174.57,174.35,174.41
2019-11-20T18:00:00,173.92,174.87,174.81,174.35
2019-11-20T17:00:00,174.38,175.5,175.08,174.81
2019-11-20T16:00:00,174.23,175.67,174.37,175.05
2019-11-20T15:00:00,173.56,174.44,174.33,174.39
2019-11-20T14:00:00,173.26,174.43,174.18,174.35
2019-11-20T13:00:00,173.63,177.25,176.35,174.07
2019-11-20T12:00:00,175.65,176.64,175.66,176.35
2019-11-20T11:00:00,175.52,176.45,175.73,175.65
2019-11-20T10:00:00,174.92,177.11,176.79,175.7
2019-11-20T09:00:00,174.84,176.93,174.85,176.64
2019-11-20T08:00:00,174.44,174.98,174.56,174.85
2019-11-20T07:00:00,174.27,175.23,174.69,174.57
2019-11-20T06:00:00,174.01,175.11,174.19,174.69
2019-11-20T05:00:00,173.34,175.27,175.04,174.28
2019-11-20T04:00:00,175.04,176.0,175.96,175.04
2019-11-20T03:00:00,175.86,177.01,176.45,175.9
2019-11-20T02:00:00,176.42,177.21,176.71,176.44
2019-11-20T01:00:00,176.08,177.2,176.08,176.63
2019-11-20T00:00:00,174.5,176.39,175.31,176.0
2019-11-19T23:00:00,175.25,176.3,175.53,175.25
2019-11-19T22:00:00,175.53,176.13,176.11,175.57
2019-11-19T21:00:00,176.06,176.56,176.06,176.12
2019-11-19T20:00:00,175.51,176.74,175.59,176.06
2019-11-19T19:00:00,174.91,175.78,175.75,175.6
2019-11-19T18:00:00,174.89,176.03,175.49,175.73
2019-11-19T17:00:00,174.41,176.08,174.46,175.5
2019-11-19T16:00:00,173.36,174.44,173.84,174.43
2019-11-19T15:00:00,172.46,173.96,173.95,173.84
2019-11-19T14:00:00,173.35,174.35,173.55,173.96
2019-11-19T13:00:00,173.39,174.52,174.06,173.55
2019-11-19T12:00:00,172.38,174.47,174.47,174.0
2019-11-19T11:00:00,173.91,175.65,174.87,174.43
2019-11-19T10:00:00,173.97,175.23,174.74,174.87
2019-11-19T09:00:00,173.84,175.56,173.88,174.72
2019-11-19T08:00:00,173.24,174.54,173.75,173.9
2019-11-19T07:00:00,173.14,175.54,174.34,173.78
2019-11-19T06:00:00,172.81,176.19,175.86,174.45
2019-11-19T05:00:00,175.63,177.0,176.66,175.85
2019-11-19T04:00:00,176.25,176.94,176.94,176.66
2019-11-19T03:00:00,175.79,176.98,175.79,176.94
2019-11-19T02:00:00,175.21,176.52,176.46,175.8
2019-11-19T01:00:00,175.66,176.66,176.48,176.47
2019-11-19T00:00:00,176.37,177.22,176.7,176.49
2019-11-18T23:00:00,175.59,177.02,176.76,176.71
2019-11-18T22:00:00,176.57,177.68,177.63,176.76
2019-11-18T21:00:00,177.03,178.14,177.76,177.63
2019-11-18T20:00:00,176.95,178.0,176.96,177.81
2019-11-18T19:00:00,176.71,178.09,177.8,176.96
2019-11-18T18:00:00,177.72,178.43,178.42,177.85
2019-11-18T17:00:00,177.55,178.53,178.34,178.43
2019-11-18T16:00:00,177.8,178.5,177.87,178.35
2019-11-18T15:00:00,176.98,178.46,178.46,177.86
2019-11-18T14:00:00,177.49,178.5,178.11,178.48
2019-11-18T13:00:00,173.56,179.73,179.61,178.09
2019-11-18T12:00:00,178.68,180.9,180.83,179.61
2019-11-18T11:00:00,180.68,181.56,180.72,180.88
2019-11-18T10:00:00,180.32,181.82,181.56,180.67
2019-11-18T09:00:00,181.51,182.62,182.27,181.56
2019-11-18T08:00:00,181.29,182.54,181.7,182.25
2019-11-18T07:00:00,181.0,182.15,182.15,181.7
2019-11-18T06:00:00,181.64,182.73,182.24,182.05
2019-11-18T05:00:00,182.16,183.01,183.0,182.19
2019-11-18T04:00:00,182.68,183.14,183.07,183.02
2019-11-18T03:00:00,182.59,183.53,183.1,183.05
2019-11-18T02:00:00,182.47,183.38,182.63,183.11
2019-11-18T01:00:00,182.59,183.86,183.53,182.63
2019-11-18T00:00:00,183.01,183.72,183.14,183.53
2019-11-17T23:00:00,182.74,183.37,182.98,183.14
2019-11-17T22:00:00,182.25,183.28,182.75,183.06
2019-11-17T21:00:00,182.18,183.32,183.21,182.76
2019-11-17T20:00:00,183.15,183.87,183.87,183.19
