,time,low,high,open,close,Day,Polarity_of_Desc
30,2019-11-24T06:00:00,149.05,150.93,149.13,150.1,2019-11-24,0.1
31,2019-11-24T05:00:00,149.0,151.32,151.08,149.13,2019-11-24,0.1
32,2019-11-24T04:00:00,149.98,151.38,150.2,150.97,2019-11-24,0.1
33,2019-11-24T03:00:00,149.42,150.74,149.46,150.14,2019-11-24,0.1
34,2019-11-24T02:00:00,149.42,150.5,150.07,149.43,2019-11-24,0.1
35,2019-11-24T01:00:00,149.6,150.92,149.72,150.07,2019-11-24,0.1
36,2019-11-24T00:00:00,149.21,150.35,149.5,149.6,2019-11-24,0.1
37,2019-11-23T23:00:00,149.05,150.21,150.08,149.51,2019-11-23,0.1875
38,2019-11-23T22:00:00,149.78,150.83,150.83,150.09,2019-11-23,0.1875
39,2019-11-23T21:00:00,150.69,152.06,151.26,150.84,2019-11-23,0.1875
40,2019-11-23T20:00:00,150.56,151.56,151.1,151.16,2019-11-23,0.1875
41,2019-11-23T19:00:00,150.61,153.19,152.0,151.14,2019-11-23,0.1875
42,2019-11-23T18:00:00,151.87,152.81,152.04,152.0,2019-11-23,0.1875
43,2019-11-23T17:00:00,151.09,153.2,151.19,152.15,2019-11-23,0.1875
44,2019-11-23T16:00:00,150.24,151.22,151.17,151.19,2019-11-23,0.1875
45,2019-11-23T15:00:00,150.87,151.89,151.72,151.17,2019-11-23,0.1875
46,2019-11-23T14:00:00,151.61,153.29,152.88,151.72,2019-11-23,0.1875
47,2019-11-23T13:00:00,151.7,153.17,152.47,152.76,2019-11-23,0.1875
48,2019-11-23T12:00:00,151.71,154.1,153.63,152.36,2019-11-23,0.1875
49,2019-11-23T11:00:00,151.75,154.54,152.39,153.6,2019-11-23,0.1875
50,2019-11-23T10:00:00,150.66,153.4,151.17,152.53,2019-11-23,0.1875
51,2019-11-23T09:00:00,149.16,152.18,149.25,151.12,2019-11-23,0.1875
52,2019-11-23T08:00:00,148.53,149.63,148.53,149.27,2019-11-23,0.1875
53,2019-11-23T07:00:00,148.35,149.67,149.1,148.46,2019-11-23,0.1875
54,2019-11-23T06:00:00,148.71,150.17,149.23,149.09,2019-11-23,0.1875
55,2019-11-23T05:00:00,147.44,150.08,148.23,149.17,2019-11-23,0.1875
56,2019-11-23T04:00:00,146.9,149.12,149.03,148.16,2019-11-23,0.1875
57,2019-11-23T03:00:00,148.47,151.24,150.46,149.03,2019-11-23,0.1875
58,2019-11-23T02:00:00,149.88,151.92,151.09,150.46,2019-11-23,0.1875
59,2019-11-23T01:00:00,150.43,151.77,151.02,150.9,2019-11-23,0.1875
60,2019-11-23T00:00:00,149.51,151.44,149.91,150.88,2019-11-23,0.1875
61,2019-11-22T23:00:00,149.93,152.47,151.91,149.93,2019-11-22,0.1225
62,2019-11-22T22:00:00,150.34,152.45,150.4,151.95,2019-11-22,0.1225
63,2019-11-22T21:00:00,149.38,150.78,149.38,150.38,2019-11-22,0.1225
64,2019-11-22T20:00:00,147.54,150.0,148.74,149.39,2019-11-22,0.1225
65,2019-11-22T19:00:00,146.37,150.32,149.98,148.79,2019-11-22,0.1225
66,2019-11-22T18:00:00,147.94,150.68,149.49,149.97,2019-11-22,0.1225
67,2019-11-22T17:00:00,148.84,153.74,153.3,149.52,2019-11-22,0.1225
68,2019-11-22T16:00:00,152.21,153.98,152.5,153.27,2019-11-22,0.1225
69,2019-11-22T15:00:00,151.7,155.26,152.97,152.7,2019-11-22,0.1225
70,2019-11-22T14:00:00,150.06,153.26,150.58,152.96,2019-11-22,0.1225
71,2019-11-22T13:00:00,147.84,151.01,148.34,150.43,2019-11-22,0.1225
72,2019-11-22T12:00:00,147.05,149.03,147.41,148.46,2019-11-22,0.1225
73,2019-11-22T11:00:00,146.42,150.76,148.07,147.4,2019-11-22,0.1225
74,2019-11-22T10:00:00,144.8,148.8,144.92,148.11,2019-11-22,0.1225
75,2019-11-22T09:00:00,137.8,146.2,144.63,144.92,2019-11-22,0.1225
76,2019-11-22T08:00:00,143.28,149.96,149.96,144.69,2019-11-22,0.1225
77,2019-11-22T07:00:00,147.79,150.11,148.73,149.93,2019-11-22,0.1225
78,2019-11-22T06:00:00,147.67,150.54,147.69,148.61,2019-11-22,0.1225
79,2019-11-22T05:00:00,145.11,155.27,155.27,147.75,2019-11-22,0.1225
80,2019-11-22T04:00:00,151.0,157.37,157.25,155.25,2019-11-22,0.1225
81,2019-11-22T03:00:00,157.08,161.9,157.73,157.12,2019-11-22,0.1225
82,2019-11-22T02:00:00,153.56,158.1,154.99,157.73,2019-11-22,0.1225
83,2019-11-22T01:00:00,154.26,159.58,159.18,155.01,2019-11-22,0.1225
84,2019-11-22T00:00:00,158.25,160.64,160.49,159.15,2019-11-22,0.1225
85,2019-11-21T23:00:00,159.91,161.0,160.02,160.37,2019-11-21,-0.004356060606060609
86,2019-11-21T22:00:00,159.91,161.6,161.44,160.03,2019-11-21,-0.004356060606060609
87,2019-11-21T21:00:00,161.14,162.39,161.81,161.34,2019-11-21,-0.004356060606060609
88,2019-11-21T20:00:00,161.33,162.65,162.35,161.8,2019-11-21,-0.004356060606060609
89,2019-11-21T19:00:00,160.78,162.32,160.83,162.32,2019-11-21,-0.004356060606060609
90,2019-11-21T18:00:00,159.96,161.03,160.69,160.82,2019-11-21,-0.004356060606060609
91,2019-11-21T17:00:00,159.27,160.84,159.32,160.69,2019-11-21,-0.004356060606060609
92,2019-11-21T16:00:00,158.52,160.05,158.88,159.32,2019-11-21,-0.004356060606060609
93,2019-11-21T15:00:00,158.34,161.01,160.01,158.89,2019-11-21,-0.004356060606060609
94,2019-11-21T14:00:00,157.81,160.12,158.34,160.01,2019-11-21,-0.004356060606060609
95,2019-11-21T13:00:00,158.0,158.7,158.3,158.35,2019-11-21,-0.004356060606060609
96,2019-11-21T12:00:00,158.16,160.32,160.28,158.33,2019-11-21,-0.004356060606060609
97,2019-11-21T11:00:00,159.64,161.76,160.83,160.28,2019-11-21,-0.004356060606060609
98,2019-11-21T10:00:00,155.0,164.44,164.37,160.88,2019-11-21,-0.004356060606060609
99,2019-11-21T09:00:00,163.64,168.38,168.07,164.52,2019-11-21,-0.004356060606060609
100,2019-11-21T08:00:00,167.95,168.78,168.78,168.07,2019-11-21,-0.004356060606060609
101,2019-11-21T07:00:00,167.65,168.78,167.65,168.78,2019-11-21,-0.004356060606060609
102,2019-11-21T06:00:00,166.39,170.86,170.86,167.64,2019-11-21,-0.004356060606060609
103,2019-11-21T05:00:00,170.46,171.33,171.01,170.95,2019-11-21,-0.004356060606060609
104,2019-11-21T04:00:00,170.9,172.08,171.43,171.07,2019-11-21,-0.004356060606060609
105,2019-11-21T03:00:00,170.01,174.23,174.21,171.46,2019-11-21,-0.004356060606060609
106,2019-11-21T02:00:00,173.67,174.48,174.11,174.23,2019-11-21,-0.004356060606060609
107,2019-11-21T01:00:00,173.54,174.7,174.7,174.11,2019-11-21,-0.004356060606060609
108,2019-11-21T00:00:00,174.48,174.79,174.59,174.68,2019-11-21,-0.004356060606060609
109,2019-11-20T23:00:00,174.3,174.98,174.92,174.58,2019-11-20,-0.10292027417027418
110,2019-11-20T22:00:00,174.31,175.14,174.82,175.04,2019-11-20,-0.10292027417027418
111,2019-11-20T21:00:00,174.6,175.49,175.45,174.82,2019-11-20,-0.10292027417027418
112,2019-11-20T20:00:00,174.4,175.49,174.41,175.49,2019-11-20,-0.10292027417027418
113,2019-11-20T19:00:00,173.63,174.57,174.35,174.41,2019-11-20,-0.10292027417027418
114,2019-11-20T18:00:00,173.92,174.87,174.81,174.35,2019-11-20,-0.10292027417027418
115,2019-11-20T17:00:00,174.38,175.5,175.08,174.81,2019-11-20,-0.10292027417027418
116,2019-11-20T16:00:00,174.23,175.67,174.37,175.05,2019-11-20,-0.10292027417027418
117,2019-11-20T15:00:00,173.56,174.44,174.33,174.39,2019-11-20,-0.10292027417027418
118,2019-11-20T14:00:00,173.26,174.43,174.18,174.35,2019-11-20,-0.10292027417027418
119,2019-11-20T13:00:00,173.63,177.25,176.35,174.07,2019-11-20,-0.10292027417027418
120,2019-11-20T12:00:00,175.65,176.64,175.66,176.35,2019-11-20,-0.10292027417027418
121,2019-11-20T11:00:00,175.52,176.45,175.73,175.65,2019-11-20,-0.10292027417027418
122,2019-11-20T10:00:00,174.92,177.11,176.79,175.7,2019-11-20,-0.10292027417027418
123,2019-11-20T09:00:00,174.84,176.93,174.85,176.64,2019-11-20,-0.10292027417027418
124,2019-11-20T08:00:00,174.44,174.98,174.56,174.85,2019-11-20,-0.10292027417027418
125,2019-11-20T07:00:00,174.27,175.23,174.69,174.57,2019-11-20,-0.10292027417027418
