time,trade_id,price,size,side
2019-11-26T22:00:00+00:00,78598808,7104.39000000,0.00329276,sell
2019-11-26T22:00:00+00:00,78598807,7104.39000000,0.00235608,sell
2019-11-26T22:00:00+00:00,78598806,7104.39000000,0.01358737,sell
2019-11-26T22:00:00+00:00,78598805,7104.39000000,0.01011768,sell
2019-11-26T22:00:00+00:00,78598804,7104.39000000,0.03449980,sell
2019-11-26T22:00:00+00:00,78598803,7104.39000000,0.00147201,sell
2019-11-26T22:00:00+00:00,78598802,7105.26000000,0.00623078,sell
2019-11-26T22:00:00+00:00,78598801,7105.26000000,0.00315434,sell
2019-11-26T22:00:00+00:00,78598800,7104.39000000,0.05893603,buy
2019-11-26T22:00:00+00:00,78598799,7104.40000000,0.00868485,buy
2019-11-26T22:00:00+00:00,78598798,7105.29000000,0.01359314,sell
2019-11-26T22:00:00+00:00,78598797,7105.29000000,0.01346972,sell
2019-11-26T22:00:00+00:00,78598796,7105.29000000,0.04485657,sell
2019-11-26T22:00:00+00:00,78598795,7105.29000000,0.00868485,sell
2019-11-26T22:00:00+00:00,78598794,7103.46000000,0.00541972,sell
2019-11-26T22:00:00+00:00,78598793,7103.46000000,0.05091766,sell
2019-11-26T22:00:00+00:00,78598792,7103.46000000,0.04826181,sell
2019-11-26T22:00:00+00:00,78598791,7103.46000000,0.00532427,sell
2019-11-26T22:00:00+00:00,78598790,7104.23000000,0.00012828,sell
2019-11-26T22:00:00+00:00,78598789,7103.47000000,0.00519601,sell
2019-11-26T22:00:00+00:00,78598788,7103.47000000,0.28085216,sell
2019-11-26T22:00:00+00:00,78598787,7103.47000000,0.03044953,sell
2019-11-26T22:00:00+00:00,78598786,7103.47000000,0.00462390,sell
2019-11-26T22:00:00+00:00,78598785,7103.47000000,0.22975700,sell
2019-11-26T22:00:00+00:00,78598784,7103.47000000,0.01680000,sell
2019-11-26T21:00:00+00:00,78597783,7110.70000000,0.06728311,sell
2019-11-26T21:00:00+00:00,78597782,7110.70000000,0.00839357,sell
2019-11-26T21:00:00+00:00,78597781,7110.70000000,0.00426338,sell
2019-11-26T21:00:00+00:00,78597780,7110.70000000,0.04423662,sell
2019-11-26T21:00:00+00:00,78597779,7110.70000000,0.00024082,sell
2019-11-26T21:00:00+00:00,78597778,7110.70000000,0.00969586,sell
2019-11-26T21:00:00+00:00,78597777,7110.70000000,0.01356950,sell
2019-11-26T21:00:00+00:00,78597776,7110.70000000,0.00328983,sell
2019-11-26T21:00:00+00:00,78597775,7110.70000000,0.01480216,sell
2019-11-26T21:00:00+00:00,78597774,7110.70000000,0.02893124,sell
2019-11-26T21:00:00+00:00,78597773,7110.83000000,0.00531674,sell
2019-11-26T21:00:00+00:00,78597772,7111.06000000,0.08953354,buy
2019-11-26T21:00:00+00:00,78597771,7111.07000000,0.10000000,buy
2019-11-26T21:00:00+00:00,78597770,7113.54000000,0.00026486,buy
2019-11-26T21:00:00+00:00,78597769,7113.55000000,0.00505957,sell
2019-11-26T21:00:00+00:00,78597768,7113.54000000,0.00673514,buy
2019-11-26T21:00:00+00:00,78597767,7113.55000000,0.01345065,sell
2019-11-26T21:00:00+00:00,78597766,7113.55000000,0.01902475,sell
2019-11-26T21:00:00+00:00,78597765,7113.55000000,0.06342199,sell
2019-11-26T21:00:00+00:00,78597764,7113.23000000,0.01015245,buy
2019-11-26T21:00:00+00:00,78597763,7113.54000000,0.07028859,buy
2019-11-26T21:00:00+00:00,78597762,7113.53000000,0.00126051,sell
2019-11-26T21:00:00+00:00,78597761,7113.53000000,0.00643686,sell
2019-11-26T21:00:00+00:00,78597760,7113.53000000,0.00248907,sell
2019-11-26T21:00:00+00:00,78597759,7112.34000000,0.00478596,sell
2019-11-26T21:00:00+00:00,78597758,7112.34000000,0.01143552,sell
2019-11-26T21:00:00+00:00,78597757,7112.34000000,0.00391797,sell
2019-11-26T21:00:00+00:00,78597756,7112.36000000,0.11035987,buy
2019-11-26T21:00:00+00:00,78597755,7113.54000000,0.03833609,sell
2019-11-26T21:00:00+00:00,78597754,7113.54000000,0.01573814,sell
2019-11-26T21:00:00+00:00,78597753,7113.54000000,0.00126023,sell
2019-11-26T21:00:00+00:00,78597752,7112.80000000,0.07805702,buy
2019-11-26T21:00:00+00:00,78597751,7112.81000000,0.19726372,buy
2019-11-26T21:00:00+00:00,78597750,7112.82000000,0.50000000,buy
2019-11-26T21:00:00+00:00,78597749,7112.82000000,0.07029571,buy
2019-11-26T21:00:00+00:00,78597748,7113.93000000,0.00797398,sell
2019-11-26T21:00:00+00:00,78597747,7114.36000000,0.43117207,sell
2019-11-26T21:00:00+00:00,78597746,7114.31000000,0.01742692,sell
2019-11-26T21:00:00+00:00,78597745,7114.19000000,0.00563626,sell
2019-11-26T21:00:00+00:00,78597744,7113.94000000,0.59790196,sell
2019-11-26T21:00:00+00:00,78597743,7113.94000000,0.00209804,sell
2019-11-26T21:00:00+00:00,78597742,7113.93000000,0.00314900,sell
2019-11-26T21:00:00+00:00,78597741,7112.74000000,0.01748725,sell
2019-11-26T21:00:00+00:00,78597740,7112.78000000,0.01497266,sell
2019-11-26T21:00:00+00:00,78597739,7113.00000000,0.00671748,sell
2019-11-26T21:00:00+00:00,78597738,7110.91000000,0.62159201,buy
2019-11-26T21:00:00+00:00,78597737,7110.92000000,0.10000000,buy
2019-11-26T21:00:00+00:00,78597736,7110.92000000,0.50000000,buy
2019-11-26T21:00:00+00:00,78597735,7113.09000000,0.00328828,sell
2019-11-26T21:00:00+00:00,78597734,7110.46000000,0.02860121,buy
2019-11-26T21:00:00+00:00,78597733,7111.41000000,0.08472362,buy
2019-11-26T21:00:00+00:00,78597732,7113.14000000,0.35300000,buy
2019-11-26T21:00:00+00:00,78597731,7114.19000000,0.00250000,sell
2019-11-26T21:00:00+00:00,78597730,7113.86000000,0.00391911,sell
2019-11-26T21:00:00+00:00,78597729,7112.49000000,0.00816653,buy
2019-11-26T21:00:00+00:00,78597728,7112.54000000,0.00139918,sell
