,time,low,high,open,close,Day,Polarity_of_Desc
0,2019-11-25T12:00:00,7169.57,7239.58,7223.64,7220.93,2019-11-25,0.07233072916666666
1,2019-11-25T11:00:00,7191.05,7379.99,7261.52,7226.51,2019-11-25,0.07233072916666666
2,2019-11-25T10:00:00,7164.89,7295.0,7170.27,7261.52,2019-11-25,0.07233072916666666
3,2019-11-25T09:00:00,7129.99,7228.79,7129.99,7171.87,2019-11-25,0.07233072916666666
4,2019-11-25T08:00:00,7105.94,7280.0,7145.87,7130.0,2019-11-25,0.07233072916666666
5,2019-11-25T07:00:00,6877.18,7230.34,6881.34,7144.76,2019-11-25,0.07233072916666666
6,2019-11-25T06:00:00,6827.42,6972.01,6891.74,6881.37,2019-11-25,0.07233072916666666
7,2019-11-25T05:00:00,6723.44,6963.39,6752.4,6891.75,2019-11-25,0.07233072916666666
8,2019-11-25T04:00:00,6714.94,6799.51,6719.99,6752.45,2019-11-25,0.07233072916666666
9,2019-11-25T03:00:00,6646.76,6729.51,6675.88,6720.0,2019-11-25,0.07233072916666666
10,2019-11-25T02:00:00,6653.77,6729.05,6653.77,6675.89,2019-11-25,0.07233072916666666
11,2019-11-25T01:00:00,6541.22,6685.0,6546.25,6653.25,2019-11-25,0.07233072916666666
12,2019-11-25T00:00:00,6526.0,6679.38,6649.99,6548.5,2019-11-25,0.07233072916666666
13,2019-11-24T23:00:00,6600.0,6734.64,6680.03,6650.0,2019-11-24,0.13449074074074074
14,2019-11-24T22:00:00,6671.99,6775.0,6736.43,6675.0,2019-11-24,0.13449074074074074
15,2019-11-24T21:00:00,6686.62,6788.16,6723.97,6736.43,2019-11-24,0.13449074074074074
16,2019-11-24T20:00:00,6613.01,6947.98,6889.57,6723.98,2019-11-24,0.13449074074074074
17,2019-11-24T19:00:00,6804.0,6925.4,6908.64,6889.58,2019-11-24,0.13449074074074074
18,2019-11-24T18:00:00,6865.0,7047.55,7037.32,6908.64,2019-11-24,0.13449074074074074
19,2019-11-24T17:00:00,7011.14,7069.1,7046.01,7037.33,2019-11-24,0.13449074074074074
20,2019-11-24T16:00:00,7030.0,7103.02,7058.53,7046.01,2019-11-24,0.13449074074074074
21,2019-11-24T15:00:00,7000.0,7080.0,7041.6,7053.8,2019-11-24,0.13449074074074074
22,2019-11-24T14:00:00,7019.2,7098.6,7083.97,7040.66,2019-11-24,0.13449074074074074
23,2019-11-24T13:00:00,7059.6,7107.36,7084.73,7083.52,2019-11-24,0.13449074074074074
24,2019-11-24T12:00:00,7025.75,7125.37,7026.53,7086.35,2019-11-24,0.13449074074074074
25,2019-11-24T11:00:00,6910.6,7039.1,6990.85,7028.44,2019-11-24,0.13449074074074074
26,2019-11-24T10:00:00,6971.09,7103.31,7067.08,6994.89,2019-11-24,0.13449074074074074
27,2019-11-24T09:00:00,7000.0,7174.81,7149.37,7064.47,2019-11-24,0.13449074074074074
28,2019-11-24T08:00:00,7134.71,7195.24,7163.27,7149.61,2019-11-24,0.13449074074074074
29,2019-11-24T07:00:00,7143.4,7211.98,7211.53,7163.27,2019-11-24,0.13449074074074074
30,2019-11-24T06:00:00,7130.53,7271.05,7141.44,7211.98,2019-11-24,0.13449074074074074
31,2019-11-24T05:00:00,7110.08,7281.64,7256.24,7141.45,2019-11-24,0.13449074074074074
32,2019-11-24T04:00:00,7180.0,7275.22,7210.5,7256.25,2019-11-24,0.13449074074074074
33,2019-11-24T03:00:00,7186.01,7235.0,7188.22,7210.5,2019-11-24,0.13449074074074074
34,2019-11-24T02:00:00,7183.59,7227.76,7213.35,7189.85,2019-11-24,0.13449074074074074
35,2019-11-24T01:00:00,7188.88,7238.61,7188.89,7213.35,2019-11-24,0.13449074074074074
36,2019-11-24T00:00:00,7165.8,7203.04,7184.46,7188.89,2019-11-24,0.13449074074074074
37,2019-11-23T23:00:00,7174.38,7231.94,7223.0,7184.46,2019-11-23,0.03803102453102452
38,2019-11-23T22:00:00,7201.08,7255.7,7255.69,7223.0,2019-11-23,0.03803102453102452
39,2019-11-23T21:00:00,7252.35,7290.63,7271.79,7255.7,2019-11-23,0.03803102453102452
40,2019-11-23T20:00:00,7250.0,7281.51,7260.13,7271.79,2019-11-23,0.03803102453102452
41,2019-11-23T19:00:00,7233.31,7344.0,7329.29,7261.09,2019-11-23,0.03803102453102452
42,2019-11-23T18:00:00,7310.0,7335.85,7310.54,7329.29,2019-11-23,0.03803102453102452
43,2019-11-23T17:00:00,7276.89,7341.95,7289.02,7310.7,2019-11-23,0.03803102453102452
44,2019-11-23T16:00:00,7253.35,7294.5,7285.86,7289.01,2019-11-23,0.03803102453102452
45,2019-11-23T15:00:00,7256.24,7307.26,7293.14,7285.82,2019-11-23,0.03803102453102452
46,2019-11-23T14:00:00,7281.98,7340.48,7318.18,7293.14,2019-11-23,0.03803102453102452
47,2019-11-23T13:00:00,7279.01,7348.95,7300.59,7318.18,2019-11-23,0.03803102453102452
48,2019-11-23T12:00:00,7261.49,7317.14,7310.01,7300.59,2019-11-23,0.03803102453102452
49,2019-11-23T11:00:00,7246.11,7361.41,7305.01,7310.01,2019-11-23,0.03803102453102452
50,2019-11-23T10:00:00,7240.0,7342.31,7267.1,7305.02,2019-11-23,0.03803102453102452
51,2019-11-23T09:00:00,7178.9,7309.42,7187.76,7267.23,2019-11-23,0.03803102453102452
52,2019-11-23T08:00:00,7159.89,7194.84,7165.3,7187.76,2019-11-23,0.03803102453102452
53,2019-11-23T07:00:00,7155.55,7204.82,7185.0,7165.3,2019-11-23,0.03803102453102452
54,2019-11-23T06:00:00,7170.0,7234.68,7181.56,7185.01,2019-11-23,0.03803102453102452
55,2019-11-23T05:00:00,7138.11,7213.23,7172.12,7177.21,2019-11-23,0.03803102453102452
56,2019-11-23T04:00:00,7102.21,7185.53,7155.82,7174.47,2019-11-23,0.03803102453102452
57,2019-11-23T03:00:00,7117.6,7227.56,7190.22,7155.81,2019-11-23,0.03803102453102452
58,2019-11-23T02:00:00,7176.49,7250.0,7223.89,7190.22,2019-11-23,0.03803102453102452
59,2019-11-23T01:00:00,7198.33,7236.8,7220.41,7223.9,2019-11-23,0.03803102453102452
60,2019-11-23T00:00:00,7195.0,7251.52,7225.01,7220.41,2019-11-23,0.03803102453102452
61,2019-11-22T23:00:00,7225.0,7315.64,7285.67,7225.01,2019-11-22,0.0745431776420077
62,2019-11-22T22:00:00,7251.35,7308.24,7266.96,7285.65,2019-11-22,0.0745431776420077
63,2019-11-22T21:00:00,7209.28,7289.73,7217.8,7264.71,2019-11-22,0.0745431776420077
